"code","cardNumber","name","rarity","visualPrompt","description","imageUrl","isActive"
"HH2026-035","35","Cheese CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character proudly holds an enormous yellow cartoon cheese wedge with large round holes. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Genetique d'origine britannique mondialement reconnue pour son parfum tres puissant et muscle de fromage affine.","","True"
"HH2026-036","36","Mango Haze CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character joyfully juggles three ripe mangoes in the air. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Une pepite tropicale qui entremele la rondeur de la mangue sucree a une subtile touche epicee.","","True"
"HH2026-037","37","Dinamed CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character proudly holds a large glowing DNA strand like a scientific discovery. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Premiere variete pure CBD creee par Dinafem, reconnue pour sa stabilite genetique et son gout d'orange douce.","","True"
"HH2026-038","38","Baox","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character holds a rustic old wooden warrior shield in a proud but simple defensive pose. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Croisement entre Hindu Kush et Otto II, c'est une souche robuste aux profils terreux et boises tres marques.","","True"
"HH2026-039","39","Berry Blossom","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character gently holds a beautiful bouquet of pink flowers mixed with small wild berries. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Hybride tres floral offrant des notes douces de framboise et de pin apaisant.","","True"
"HH2026-040","40","The Wife","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character wears a vintage floral grandmother-style apron and holds a rolling pin with a warm homey attitude. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Souche mere mythique dans la creation de nombreuses genetiques CBD, celebre pour ses notes de cerise.","","True"
"HH2026-041","41","Therapy CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character lies comfortably on a tiny psychoanalyst couch while taking notes in a playful self-reflective way. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Creee pour maximiser le potentiel therapeutique sans psychoactivite, elle offre des aromes de fruits tropicaux.","","True"
"HH2026-042","42","Dancehall","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character wears disco bell-bottom pants and scratches an old vintage turntable with playful rhythm. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Issue de genetiques espagnoles, elle stimule l'humeur avec son arome piquant de poivre et d'ananas.","","True"
"HH2026-043","43","Frank's Gift","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character wears a neat bow tie and presents a pretty ribbon-wrapped gift box with a polite cheerful smile. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Phenotype de Skunk Haze offrant des taux de CBD massifs, prisee pour ses effets relaxants corporels.","","True"
"HH2026-044","44","Valentine X","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character has small wings on its back and shoots a heart-shaped arrow with a bow in a playful cupid-like pose. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Nommee en l'honneur de St. Valentine, c'est une variation puissante d'ACDC au profil de pin parfume.","","True"
"HH2026-045","45","Carmagnola","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character rolls a large old-fashioned wooden cart wheel like a classic farm-era prop. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Variete italienne historique, l'une des plus anciennes lignees de chanvre, avec des notes tres terreuses.","","True"
"HH2026-046","46","Cherry Abacus","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character counts on an old-fashioned abacus whose beads are bright red cherries. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Melange parfait entre la genetique Abacus et des notes fruitees de cerise confite et de cola.","","True"
"HH2026-047","47","Magic Bullet","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character wears a tall magician top hat and pulls out a shiny bullet-shaped object like a stage magic trick. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Variete reputee pour sa croissance rapide et sa forte teneur en myrcene, ideale pour la detente.","","True"
"HH2026-048","48","Otto II","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character holds an oversized mechanic wrench with greasy hands, like a friendly old-cartoon repairman. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Stabilisee dans le Colorado, elle produit des aromes complexes de poivre noir et de bois de cedre.","","True"
"HH2026-049","49","Swiss Dream CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character blows with all its strength into a huge wooden alpine horn. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Variete suisse tres florale et epicee, garantissant un taux de THC ultra-bas tout en preservant des aromes forts.","","True"
"HH2026-050","50","CB Dream","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character proudly holds up a large woven dreamcatcher decorated with feathers. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Hybride doux aux dominantes indica, apprecie pour combattre le stress grace a son profil de pin et de citron.","","True"
"HH2026-051","51","CBD Kush","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character carries a small oriental lantern releasing a thick soft cloud of smoke. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Fruit d'une collaboration avec CBD Crew, elle croise Kandy Kush pour des saveurs douces et boisees.","","True"
"HH2026-052","52","Diesel CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character proudly leans against an old 1930s vintage gas pump with a relaxed confident attitude. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Conserve le parfum acre et carburant caracteristique de sa lignee, pour une detente maximale.","","True"
